"Place","Region","Confirmed","Deaths","Recovered","Active","Last Update"
"United States","United States","6,507","115","17","6,375","2020-03-18 03:00:00"
"New York","United States","1,708","16","0","1,692","2020-03-18 03:00:00 * CTY: New York 923; Westchester 380; Nassau 140; Suffolk 97; Albany 25; Rockland 22; unknown 19; Dutchess 16; Orange 15; Monroe 14; Erie 11; Saratoga 9; Ulster 8; Schenectady 5; Tompkins 3; Allegany 2; Putnam 2; Greene 2; Onondaga  2; Oneida 1; Sullivan 1; Wyoming 1; Clinton 1; Delaware 1; Rensselaer 1; Montgomery 1; Genesee  1; Essex  1; Tioga 1; Ontario 1; Broome 1; Herkimer 1"
"Washington","United States","1,014","55","1","958","2020-03-18 03:00:00 * CTY: King 569; Snohomish 266; unknown 57; Pierce 45; Island 14; Skagit 9; Kitsap 7; Grant 7; Whatcom 6; Thurston 5; Yakima 5; Spokane 4; Clark 4; Jefferson 3; Kittitas 3; Chelan 2; Klickitat 1; Lewis 1; Lincoln 1; Cowlitz 1; Franklin 1; Grays Harbor 1; Mason 1; Columbia 1"
"California","United States","718","13","6","699","2020-03-18 03:00:00 * CTY: Santa Clara 155; Los Angeles 144; San Mateo 64; San Diego 60; San Francisco 43; Sacramento 40; Contra Costa 39; Orange 29; Alameda 27; Riverside 16; Santa Cruz 13; San Joaquin 13; Marin 11; Ventura 10; Solano 7; San Luis Obispo 6; Placer 5; Yolo 4; Stanislaus 4; Sonoma 4; San Bernardino 3; San Benito 3; Tulare 3; Imperial 2; Fresno 2; Calaveras 2; Monterey 2; Santa Barbara 2; Madera 1; Nevada 1; Shasta 1; Humboldt 1; Kern 1"
"New Jersey","United States","267","3","1","263","2020-03-18 03:00:00 * CTY: Bergen 84; Essex 32; Hudson 24; Monmouth 22; Middlesex 22; unknown 17; Union 15; Passaic 10; Mercer 9; Morris 7; Somerset 7; Burlington 5; Ocean 4; Hunterdon 4; Camden 3; Gloucester  2"
"Massachusetts","United States","218","0","1","217","2020-03-18 03:00:00 * CTY: Middlesex 89; Norfolk 43; Suffolk 42; Berkshire 14; Essex 8; Worcester 8; Bristol 5; Plymouth 5; Barnstable 2; Unknown 1; Hampden 1"
"Florida","United States","217","7","0","210","2020-03-18 03:00:00 * CTY: Broward 48; Miami-Dade 40; Non-Florida-Resident 21; Palm Beach 13; Duval 10; Volusia 9; Hillsborough 7; Manatee 7; Osceola 6; Outside-Florida 6; Orange 6; Collier 6; Lee 5; Pinellas 4; Seminole 4; Clay 4; Alachua 4; Sarasota 2; Pasco 2; Okaloosa 2; Citrus 2; St. Johns 2; Charlotte 1; Brevard 1; Lake 1; Polk 1; Nassau 1; Santa Rosa 1; Escambia 1; unknown 0"
"Louisiana","United States","196","4","0","192","2020-03-18 03:00:00 * CTY: Orleans 136; Jefferson 35; St. Tammany 6; Caddo 4; Terrebonne 3; St. Charles 3; Lafourche 2; St. Bernard 2; Washington 1; East Baton Rouge 1; Ascension 1; Bossier 1; St. John the Baptist 1"
"Colorado","United States","184","2","0","182","2020-03-18 03:00:00 * CTY: Denver 38; Eagle 34; unknown 15; Arapahoe 15; Jefferson 13; Boulder 11; Pitkin 11; Gunnison 8; Douglas 8; El Paso 6; Weld 6; Adams 6; Summit 5; Larimer 3; Garfield 1; Mesa  1; Routt 1; Clear Creek 1; Pueblo 1"
"Illinois","United States","161","1","2","158","2020-03-18 03:00:00 * CTY: Cook 107; DuPage 26; Lake 7; Sangamon 4; Kane 3; Clinton 2; Will 2; McHenry 2; St. Clair  2; Champaign 1; Cumberland 1; Peoria 1; Woodford 1; Whiteside 1; Winnebago 1"
